sound_id,game_zone,source_type,sub_category,audioset_class,fname,file_path,source_dataset,original_fname,duration_sec,ambiguous
Forest_79080,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,79080,Audio/Forest/79080,FSD50K,79080,,False
Forest_321947,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,321947,Audio/Forest/321947,FSD50K,321947,,False
Forest_43786,Forest,Biological,Dog,Dog,43786,Audio/Forest/43786,FSD50K,43786,,False
Forest_412310,Forest,Biological,Chewing_and_mastication,Chewing_and_mastication,412310,Audio/Forest/412310,FSD50K,412310,,False
Forest_236194,Forest,Biological,Dog,Dog,236194,Audio/Forest/236194,FSD50K,236194,,False
Forest_193878,Forest,Biological,Insect,Insect,193878,Audio/Forest/193878,FSD50K,193878,,False
Forest_429899,Forest,Biological,Insect,Insect,429899,Audio/Forest/429899,FSD50K,429899,,False
Forest_34313,Forest,Biological,Bird,Bird,34313,Audio/Forest/34313,FSD50K,34313,,False
Forest_368083,Forest,Biological,Accelerating_and_revving_and_vroom,Accelerating_and_revving_and_vroom,368083,Audio/Forest/368083,FSD50K,368083,,False
Forest_65483,Forest,Biological,Cricket,Cricket,65483,Audio/Forest/65483,FSD50K,65483,,False
Forest_269871,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,269871,Audio/Forest/269871,FSD50K,269871,,False
Forest_221672,Forest,Biological,Bird,Bird,221672,Audio/Forest/221672,FSD50K,221672,,False
Forest_236089,Forest,Biological,Bark,Bark,236089,Audio/Forest/236089,FSD50K,236089,,False
Forest_69080,Forest,Biological,Bird_vocalization_and_bird_call_and_bird_song,Bird_vocalization_and_bird_call_and_bird_song,69080,Audio/Forest/69080,FSD50K,69080,,False
Forest_426563,Forest,Biological,Bird_vocalization_and_bird_call_and_bird_song,Bird_vocalization_and_bird_call_and_bird_song,426563,Audio/Forest/426563,FSD50K,426563,,False
Forest_397661,Forest,Biological,Meow,Meow,397661,Audio/Forest/397661,FSD50K,397661,,False
Forest_365734,Forest,Biological,Chirp_and_tweet,Chirp_and_tweet,365734,Audio/Forest/365734,FSD50K,365734,,False
Forest_253672,Forest,Biological,Bird,Bird,253672,Audio/Forest/253672,FSD50K,253672,,False
Forest_326743,Forest,Biological,Animal,Animal,326743,Audio/Forest/326743,FSD50K,326743,,False
Forest_33373,Forest,Biological,Bird_vocalization_and_bird_call_and_bird_song,Bird_vocalization_and_bird_call_and_bird_song,33373,Audio/Forest/33373,FSD50K,33373,,False
Forest_210170,Forest,Biological,Growling,Growling,210170,Audio/Forest/210170,FSD50K,210170,,False
Forest_103420,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,103420,Audio/Forest/103420,FSD50K,103420,,False
Forest_408052,Forest,Biological,Chewing_and_mastication,Chewing_and_mastication,408052,Audio/Forest/408052,FSD50K,408052,,False
Forest_372531,Forest,Biological,Growling,Growling,372531,Audio/Forest/372531,FSD50K,372531,,False
Forest_40730,Forest,Biological,Chicken_and_rooster,Chicken_and_rooster,40730,Audio/Forest/40730,FSD50K,40730,,False
Forest_32777,Forest,Biological,Animal,Animal,32777,Audio/Forest/32777,FSD50K,32777,,False
Forest_198340,Forest,Biological,Crowd,Crowd,198340,Audio/Forest/198340,FSD50K,198340,,False
Forest_32797,Forest,Biological,Frog,Frog,32797,Audio/Forest/32797,FSD50K,32797,,False
Forest_236078,Forest,Biological,Bark,Bark,236078,Audio/Forest/236078,FSD50K,236078,,False
Forest_404905,Forest,Biological,Insect,Insect,404905,Audio/Forest/404905,FSD50K,404905,,False
Creek_182556,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,182556,Audio/Creek/182556,FSD50K,182556,,False
Creek_418010,Creek,Physical,Drip,Drip,418010,Audio/Creek/418010,FSD50K,418010,,False
Creek_147378,Creek,Physical,Fire,Fire,147378,Audio/Creek/147378,FSD50K,147378,,False
Creek_99085,Creek,Physical,Thunder,Thunder,99085,Audio/Creek/99085,FSD50K,99085,,False
Creek_53686,Creek,Physical,Water,Water,53686,Audio/Creek/53686,FSD50K,53686,,False
Creek_359410,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,359410,Audio/Creek/359410,FSD50K,359410,,False
Creek_237756,Creek,Physical,Fireworks,Fireworks,237756,Audio/Creek/237756,FSD50K,237756,,False
Creek_372638,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,372638,Audio/Creek/372638,FSD50K,372638,,False
Creek_8351,Creek,Physical,Drip,Drip,8351,Audio/Creek/8351,FSD50K,8351,,False
Creek_37542,Creek,Physical,Rain,Rain,37542,Audio/Creek/37542,FSD50K,37542,,False
Creek_333924,Creek,Physical,Waves_and_surf,Waves_and_surf,333924,Audio/Creek/333924,FSD50K,333924,,False
Creek_25013,Creek,Physical,Fireworks,Fireworks,25013,Audio/Creek/25013,FSD50K,25013,,False
Creek_121425,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,121425,Audio/Creek/121425,FSD50K,121425,,False
Creek_233417,Creek,Physical,Water,Water,233417,Audio/Creek/233417,FSD50K,233417,,False
Creek_19807,Creek,Physical,Train,Train,19807,Audio/Creek/19807,FSD50K,19807,,False
Creek_32799,Creek,Physical,Gunshot_and_gunfire,Gunshot_and_gunfire,32799,Audio/Creek/32799,FSD50K,32799,,False
Creek_151072,Creek,Physical,Gunshot_and_gunfire,Gunshot_and_gunfire,151072,Audio/Creek/151072,FSD50K,151072,,False
Creek_248824,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,248824,Audio/Creek/248824,FSD50K,248824,,False
Creek_22929,Creek,Physical,Thunder,Thunder,22929,Audio/Creek/22929,FSD50K,22929,,False
Creek_354970,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,354970,Audio/Creek/354970,FSD50K,354970,,False
Creek_46686,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,46686,Audio/Creek/46686,FSD50K,46686,,False
Creek_154254,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,154254,Audio/Creek/154254,FSD50K,154254,,False
Creek_248454,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,248454,Audio/Creek/248454,FSD50K,248454,,False
Creek_355201,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,355201,Audio/Creek/355201,FSD50K,355201,,False
Creek_171475,Creek,Physical,Gunshot_and_gunfire,Gunshot_and_gunfire,171475,Audio/Creek/171475,FSD50K,171475,,False
Creek_190128,Creek,Physical,Water,Water,190128,Audio/Creek/190128,FSD50K,190128,,False
Creek_360097,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,360097,Audio/Creek/360097,FSD50K,360097,,False
Creek_119387,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,119387,Audio/Creek/119387,FSD50K,119387,,False
Creek_356738,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,356738,Audio/Creek/356738,FSD50K,356738,,False
Creek_359205,Creek,Physical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,359205,Audio/Creek/359205,FSD50K,359205,,False
City_95954,City,Anthropogenic,Race_car_and_auto_racing,Race_car_and_auto_racing,95954,Audio/City/95954,FSD50K,95954,,False
City_123967,City,Anthropogenic,Subway_and_metro_and_underground,Subway_and_metro_and_underground,123967,Audio/City/123967,FSD50K,123967,,False
City_167532,City,Anthropogenic,Ringtone,Ringtone,167532,Audio/City/167532,FSD50K,167532,,False
City_326393,City,Anthropogenic,Car,Car,326393,Audio/City/326393,FSD50K,326393,,False
City_244947,City,Anthropogenic,Crowd,Crowd,244947,Audio/City/244947,FSD50K,244947,,False
City_381462,City,Anthropogenic,Keyboard_(musical),Keyboard_(musical),381462,Audio/City/381462,FSD50K,381462,,False
City_346299,City,Anthropogenic,Car,Car,346299,Audio/City/346299,FSD50K,346299,,False
City_148574,City,Anthropogenic,Piano,Piano,148574,Audio/City/148574,FSD50K,148574,,False
City_113319,City,Anthropogenic,Bus,Bus,113319,Audio/City/113319,FSD50K,113319,,False
City_253222,City,Anthropogenic,Keyboard_(musical),Keyboard_(musical),253222,Audio/City/253222,FSD50K,253222,,False
City_348369,City,Anthropogenic,Typing,Typing,348369,Audio/City/348369,FSD50K,348369,,False
City_216379,City,Anthropogenic,Engine_starting,Engine_starting,216379,Audio/City/216379,FSD50K,216379,,False
City_277252,City,Anthropogenic,Motorcycle,Motorcycle,277252,Audio/City/277252,FSD50K,277252,,False
City_351548,City,Anthropogenic,Telephone,Telephone,351548,Audio/City/351548,FSD50K,351548,,False
City_268848,City,Anthropogenic,Printer,Printer,268848,Audio/City/268848,FSD50K,268848,,False
City_275088,City,Anthropogenic,Walk_and_footsteps,Walk_and_footsteps,275088,Audio/City/275088,FSD50K,275088,,False
City_87574,City,Anthropogenic,Telephone,Telephone,87574,Audio/City/87574,FSD50K,87574,,False
City_319036,City,Anthropogenic,Telephone,Telephone,319036,Audio/City/319036,FSD50K,319036,,False
City_280204,City,Anthropogenic,Car_passing_by,Car_passing_by,280204,Audio/City/280204,FSD50K,280204,,False
City_415791,City,Anthropogenic,Engine,Engine,415791,Audio/City/415791,FSD50K,415791,,False
City_102100,City,Anthropogenic,Applause,Applause,102100,Audio/City/102100,FSD50K,102100,,False
City_253231,City,Anthropogenic,Keyboard_(musical),Keyboard_(musical),253231,Audio/City/253231,FSD50K,253231,,False
City_62589,City,Anthropogenic,Bus,Bus,62589,Audio/City/62589,FSD50K,62589,,False
City_178440,City,Anthropogenic,Telephone,Telephone,178440,Audio/City/178440,FSD50K,178440,,False
City_181129,City,Anthropogenic,Vehicle,Vehicle,181129,Audio/City/181129,FSD50K,181129,,False
City_351323,City,Anthropogenic,Piano,Piano,351323,Audio/City/351323,FSD50K,351323,,False
City_163328,City,Anthropogenic,Bus,Bus,163328,Audio/City/163328,FSD50K,163328,,False
City_152781,City,Anthropogenic,Walk_and_footsteps,Walk_and_footsteps,152781,Audio/City/152781,FSD50K,152781,,False
City_162515,City,Anthropogenic,Car,Car,162515,Audio/City/162515,FSD50K,162515,,False
City_60688,City,Anthropogenic,Crowd,Crowd,60688,Audio/City/60688,FSD50K,60688,,False
Stage_176485,Stage,Musical,Piano,Piano,176485,Audio/Stage/176485,FSD50K,176485,,False
Stage_247228,Stage,Musical,Trumpet,Trumpet,247228,Audio/Stage/247228,FSD50K,247228,,False
Stage_91672,Stage,Musical,Bass_drum,Bass_drum,91672,Audio/Stage/91672,FSD50K,91672,,False
Stage_84099,Stage,Musical,Snare_drum,Snare_drum,84099,Audio/Stage/84099,FSD50K,84099,,False
Stage_248539,Stage,Musical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,248539,Audio/Stage/248539,FSD50K,248539,,False
Stage_354278,Stage,Musical,Bowed_string_instrument,Bowed_string_instrument,354278,Audio/Stage/354278,FSD50K,354278,,False
Stage_253076,Stage,Musical,Guitar,Guitar,253076,Audio/Stage/253076,FSD50K,253076,,False
Stage_152680,Stage,Musical,Crash_cymbal,Crash_cymbal,152680,Audio/Stage/152680,FSD50K,152680,,False
Stage_204629,Stage,Musical,Marimba_and_xylophone,Marimba_and_xylophone,204629,Audio/Stage/204629,FSD50K,204629,,False
Stage_2637,Stage,Musical,Harmonica,Harmonica,2637,Audio/Stage/2637,FSD50K,2637,,False
Stage_249118,Stage,Musical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,249118,Audio/Stage/249118,FSD50K,249118,,False
Stage_359278,Stage,Musical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,359278,Audio/Stage/359278,FSD50K,359278,,False
Stage_418997,Stage,Musical,Drum,Drum,418997,Audio/Stage/418997,FSD50K,418997,,False
Stage_222201,Stage,Musical,Gong,Gong,222201,Audio/Stage/222201,FSD50K,222201,,False
Stage_373935,Stage,Musical,Drum,Drum,373935,Audio/Stage/373935,FSD50K,373935,,False
Stage_246676,Stage,Musical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,246676,Audio/Stage/246676,FSD50K,246676,,False
Stage_128844,Stage,Musical,Electric_guitar,Electric_guitar,128844,Audio/Stage/128844,FSD50K,128844,,False
Stage_137433,Stage,Musical,Hi-hat,Hi-hat,137433,Audio/Stage/137433,FSD50K,137433,,False
Stage_111653,Stage,Musical,Snare_drum,Snare_drum,111653,Audio/Stage/111653,FSD50K,111653,,False
Stage_180759,Stage,Musical,Clapping,Clapping,180759,Audio/Stage/180759,FSD50K,180759,,False
Stage_183760,Stage,Musical,Acoustic_guitar,Acoustic_guitar,183760,Audio/Stage/183760,FSD50K,183760,,False
Stage_354342,Stage,Musical,Bowed_string_instrument,Bowed_string_instrument,354342,Audio/Stage/354342,FSD50K,354342,,False
Stage_247544,Stage,Musical,Bowed_string_instrument,Bowed_string_instrument,247544,Audio/Stage/247544,FSD50K,247544,,False
Stage_356691,Stage,Musical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,356691,Audio/Stage/356691,FSD50K,356691,,False
Stage_355832,Stage,Musical,Bowed_string_instrument,Bowed_string_instrument,355832,Audio/Stage/355832,FSD50K,355832,,False
Stage_97651,Stage,Musical,Electric_guitar,Electric_guitar,97651,Audio/Stage/97651,FSD50K,97651,,False
Stage_222220,Stage,Musical,Gong,Gong,222220,Audio/Stage/222220,FSD50K,222220,,False
Stage_355211,Stage,Musical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,355211,Audio/Stage/355211,FSD50K,355211,,False
Stage_374847,Stage,Musical,Brass_instrument,Brass_instrument,374847,Audio/Stage/374847,FSD50K,374847,,False
Stage_248453,Stage,Musical,Wind_instrument_and_woodwind_instrument,Wind_instrument_and_woodwind_instrument,248453,Audio/Stage/248453,FSD50K,248453,,False
Lab_29593,Lab,Electroacoustic,Singing,Singing,29593,Audio/Lab/29593,FSD50K,29593,,False
Lab_277019,Lab,Electroacoustic,Applause,Applause,277019,Audio/Lab/277019,FSD50K,277019,,False
Lab_46731,Lab,Electroacoustic,Male_speech_and_man_speaking,Male_speech_and_man_speaking,46731,Audio/Lab/46731,FSD50K,46731,,False
Lab_242629,Lab,Electroacoustic,Female_speech_and_woman_speaking,Female_speech_and_woman_speaking,242629,Audio/Lab/242629,FSD50K,242629,,False
Lab_231740,Lab,Electroacoustic,Human_voice,Human_voice,231740,Audio/Lab/231740,FSD50K,231740,,False
Lab_151359,Lab,Electroacoustic,Traffic_noise_and_roadway_noise,Traffic_noise_and_roadway_noise,151359,Audio/Lab/151359,FSD50K,151359,,False
Lab_371554,Lab,Electroacoustic,Male_speech_and_man_speaking,Male_speech_and_man_speaking,371554,Audio/Lab/371554,FSD50K,371554,,False
Lab_398399,Lab,Electroacoustic,Thump_and_thud,Thump_and_thud,398399,Audio/Lab/398399,FSD50K,398399,,False
Lab_228363,Lab,Electroacoustic,Crowd,Crowd,228363,Audio/Lab/228363,FSD50K,228363,,False
Lab_39473,Lab,Electroacoustic,Thump_and_thud,Thump_and_thud,39473,Audio/Lab/39473,FSD50K,39473,,False
Lab_161371,Lab,Electroacoustic,Yell,Yell,161371,Audio/Lab/161371,FSD50K,161371,,False
Lab_112945,Lab,Electroacoustic,Human_voice,Human_voice,112945,Audio/Lab/112945,FSD50K,112945,,False
Lab_223749,Lab,Electroacoustic,Printer,Printer,223749,Audio/Lab/223749,FSD50K,223749,,False
Lab_40618,Lab,Electroacoustic,Female_singing,Female_singing,40618,Audio/Lab/40618,FSD50K,40618,,False
Lab_109907,Lab,Electroacoustic,Female_speech_and_woman_speaking,Female_speech_and_woman_speaking,109907,Audio/Lab/109907,FSD50K,109907,,False
Lab_97975,Lab,Electroacoustic,Fart,Fart,97975,Audio/Lab/97975,FSD50K,97975,,False
Lab_78490,Lab,Electroacoustic,Applause,Applause,78490,Audio/Lab/78490,FSD50K,78490,,False
Lab_253529,Lab,Electroacoustic,Laughter,Laughter,253529,Audio/Lab/253529,FSD50K,253529,,False
Lab_252018,Lab,Electroacoustic,Laughter,Laughter,252018,Audio/Lab/252018,FSD50K,252018,,False
Lab_341282,Lab,Electroacoustic,Laughter,Laughter,341282,Audio/Lab/341282,FSD50K,341282,,False
